,exchg,code,price,open,high,low,settle_price,upper_limit,lower_limit,total_volume,volume,total_turnover,turn_over,open_interest,diff_interest,trading_date,action_date,action_time,pre_close,pre_settle,pre_interest,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,bid_qty_0,bid_qty_1,bid_qty_2,bid_qty_3,bid_qty_4,bid_qty_5,bid_qty_6,bid_qty_7,bid_qty_8,bid_qty_9,ask_qty_0,ask_qty_1,ask_qty_2,ask_qty_3,ask_qty_4,ask_qty_5,ask_qty_6,ask_qty_7,ask_qty_8,ask_qty_9,time
20210104111809400,b'CFFEX',b'IF2101',5257.4,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43124.0,2.0,67636319640.0,3154620.0,75978.0,-1.0,20210104,20210104,111809400,5227.0,5216.2,90826.0,5257.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5257.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111809400
20210104111809900,b'CFFEX',b'IF2101',5257.0,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43140.0,16.0,67661553900.0,25234260.0,75983.0,5.0,20210104,20210104,111809900,5227.0,5216.2,90826.0,5257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5257.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111809900
20210104111810400,b'CFFEX',b'IF2101',5256.8,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43142.0,2.0,67664708040.0,3154140.0,75983.0,0.0,20210104,20210104,111810400,5227.0,5216.2,90826.0,5256.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5256.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111810400
20210104111810900,b'CFFEX',b'IF2101',5256.4,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43149.0,7.0,67675746540.0,11038500.0,75979.0,-4.0,20210104,20210104,111810900,5227.0,5216.2,90826.0,5256.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5256.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111810900
20210104111811400,b'CFFEX',b'IF2101',5256.2,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43155.0,6.0,67685208120.0,9461580.0,75982.0,3.0,20210104,20210104,111811400,5227.0,5216.2,90826.0,5256.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5256.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111811400
20210104111811900,b'CFFEX',b'IF2101',5256.2,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43162.0,7.0,67696246140.0,11038020.0,75984.0,2.0,20210104,20210104,111811900,5227.0,5216.2,90826.0,5256.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5256.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111811900
20210104111812400,b'CFFEX',b'IF2101',5256.2,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43165.0,3.0,67700976960.0,4730820.0,75986.0,2.0,20210104,20210104,111812400,5227.0,5216.2,90826.0,5256.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5256.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111812400
20210104111812900,b'CFFEX',b'IF2101',5256.6,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43167.0,2.0,67704130920.0,3153960.0,75987.0,1.0,20210104,20210104,111812900,5227.0,5216.2,90826.0,5256.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111812900
20210104111813400,b'CFFEX',b'IF2101',5257.0,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43168.0,1.0,67705708020.0,1577100.0,75987.0,0.0,20210104,20210104,111813400,5227.0,5216.2,90826.0,5256.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111813400
20210104111813900,b'CFFEX',b'IF2101',5257.0,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43168.0,0.0,67705708020.0,0.0,75987.0,0.0,20210104,20210104,111813900,5227.0,5216.2,90826.0,5256.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111813900
20210104111814400,b'CFFEX',b'IF2101',5257.0,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43169.0,1.0,67707285120.0,1577100.0,75987.0,0.0,20210104,20210104,111814400,5227.0,5216.2,90826.0,5256.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5257.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111814400
20210104111814900,b'CFFEX',b'IF2101',5256.8,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43170.0,1.0,67708862160.0,1577040.0,75987.0,0.0,20210104,20210104,111814900,5227.0,5216.2,90826.0,5256.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5257.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111814900
20210104111815400,b'CFFEX',b'IF2101',5256.8,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43171.0,1.0,67710439200.0,1577040.0,75987.0,0.0,20210104,20210104,111815400,5227.0,5216.2,90826.0,5256.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5257.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111815400
20210104111815900,b'CFFEX',b'IF2101',5257.2,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43174.0,3.0,67715170320.0,4731120.0,75984.0,-3.0,20210104,20210104,111815900,5227.0,5216.2,90826.0,5256.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5257.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111815900
20210104111816400,b'CFFEX',b'IF2101',5257.2,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43174.0,0.0,67715170320.0,0.0,75984.0,0.0,20210104,20210104,111816400,5227.0,5216.2,90826.0,5256.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5257.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111816400
20210104111816900,b'CFFEX',b'IF2101',5257.2,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43175.0,1.0,67716747480.0,1577160.0,75983.0,-1.0,20210104,20210104,111816900,5227.0,5216.2,90826.0,5256.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111816900
20210104111817400,b'CFFEX',b'IF2101',5257.2,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43175.0,0.0,67716747480.0,0.0,75983.0,0.0,20210104,20210104,111817400,5227.0,5216.2,90826.0,5256.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5257.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111817400
20210104111817900,b'CFFEX',b'IF2101',5256.6,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43176.0,1.0,67718324460.0,1576980.0,75983.0,0.0,20210104,20210104,111817900,5227.0,5216.2,90826.0,5256.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111817900
20210104111818400,b'CFFEX',b'IF2101',5256.8,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43177.0,1.0,67719901500.0,1577040.0,75983.0,0.0,20210104,20210104,111818400,5227.0,5216.2,90826.0,5256.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111818400
20210104111818900,b'CFFEX',b'IF2101',5256.6,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43179.0,2.0,67723055460.0,3153960.0,75984.0,1.0,20210104,20210104,111818900,5227.0,5216.2,90826.0,5256.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5256.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111818900
20210104111819400,b'CFFEX',b'IF2101',5257.0,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43182.0,3.0,67727786640.0,4731180.0,75981.0,-3.0,20210104,20210104,111819400,5227.0,5216.2,90826.0,5256.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5257.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111819400
20210104111819900,b'CFFEX',b'IF2101',5256.2,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43187.0,5.0,67735670940.0,7884300.0,75985.0,4.0,20210104,20210104,111819900,5227.0,5216.2,90826.0,5256.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5256.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111819900
20210104111820400,b'CFFEX',b'IF2101',5256.2,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43189.0,2.0,67738824660.0,3153720.0,75986.0,1.0,20210104,20210104,111820400,5227.0,5216.2,90826.0,5256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5256.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111820400
20210104111820900,b'CFFEX',b'IF2101',5256.0,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43192.0,3.0,67743555060.0,4730400.0,75984.0,-2.0,20210104,20210104,111820900,5227.0,5216.2,90826.0,5256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5256.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111820900
20210104111821400,b'CFFEX',b'IF2101',5256.0,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43198.0,6.0,67753015860.0,9460800.0,75983.0,-1.0,20210104,20210104,111821400,5227.0,5216.2,90826.0,5255.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111821400
20210104111821900,b'CFFEX',b'IF2101',5255.6,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43199.0,1.0,67754592540.0,1576680.0,75983.0,0.0,20210104,20210104,111821900,5227.0,5216.2,90826.0,5255.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111821900
20210104111822400,b'CFFEX',b'IF2101',5255.6,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43199.0,0.0,67754592540.0,0.0,75983.0,0.0,20210104,20210104,111822400,5227.0,5216.2,90826.0,5255.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111822400
20210104111822900,b'CFFEX',b'IF2101',5256.0,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43200.0,1.0,67756169340.0,1576800.0,75982.0,-1.0,20210104,20210104,111822900,5227.0,5216.2,90826.0,5255.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111822900
20210104111823400,b'CFFEX',b'IF2101',5255.4,5230.0,5264.8,5192.0,0.0,5737.8,4694.6,43202.0,2.0,67759322640.0,3153300.0,75981.0,-1.0,20210104,20210104,111823400,5227.0,5216.2,90826.0,5255.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5255.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20210104111823400
